issuer,issuer_address,phone,invoice_n,date,billed_to,billing_address,data,total,bank_name,account_n,support_email
"Howard, Scott and Rowland","923 Brian Alley
Laurabury, LA 61056",929-395-3520,63497703,"31 January, 2021","Coleman, Lee and Phillips","34277 Brown Trail
Christophermouth, LA 89039","[[1, 'Diverse reciprocal software', '$400.00', '$400.00'], [2, 'Ergonomic actuating website', '$499.00', '$499.00']]",899.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Flores LLC,"7356 Stacey Viaduct Suite 339
Diazland, FM 99815",764-404-8961x473,60333590,"08 July, 2022",Brady-Small,"0481 Reese Fall Apt. 547
Kellyland, VT 47109","[[1, 'Synergized holistic encoding', '$258.00', '$516.00'], [2, 'Progressive fresh-thinking software', '$432.00', '$432.00']]",948.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Ball LLC,"1570 Lane Curve Suite 610
Port Ginaville, CA 17219",157-524-9976x320,33635610,"27 July, 2021","Coffey, Dorsey and Lee","56289 Mary Radial
Donaldchester, SC 47906","[[1, 'Progressive maximized attitude', '$721.00', '$721.00']]",721.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Carlson Inc,"8248 White Valleys Apt. 796
Garciaberg, TN 10269",959-767-5897x037,97070672,"21 November, 2018",Moore-Phillips,"9337 Richard Shoals Suite 990
Floydbury, AS 17435","[[1, 'Visionary holistic moratorium', '$119.00', '$238.00'], [2, 'Organic stable infrastructure', '$441.00', '$882.00']]",1120.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Davis, Green and Howard","047 Baxter Highway Suite 175
South Virginiachester, NC 66666",087.575.5629x55272,45114079,"17 May, 2018",Wallace Inc,"0801 Duarte Street
Bridgetview, SC 42587","[[1, 'Triple-buffered fresh-thinking forecast', '$717.00', '$717.00'], [2, 'Managed exuding challenge', '$810.00', '$1620.00']]",2337.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Burton PLC,"Unit 4021 Box 7837
DPO AE 17475",(064)436-7856x477,87745241,"21 August, 2022","Pratt, Johnston and Robinson","76817 Tyler Path
West Robert, OH 52879","[[1, 'Organic static architecture', '$137.00', '$137.00']]",137.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Romero-Rogers,"Unit 5089 Box 1040
DPO AA 67164",(873)175-2495,23243843,"03 August, 2022",Smith-Morgan,"0689 Phillips Freeway
Lake Christinaberg, NJ 65554","[[1, 'Programmable object-oriented intranet', '$430.00', '$860.00'], [2, 'Balanced incremental definition', '$140.00', '$140.00'], [3, 'Reactive non-volatile database', '$603.00', '$603.00']]",1603.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Fuentes-Jackson,"4501 Christie Valley
New James, CO 73175",755-769-2282,69501917,"18 July, 2019","Shaw, Fletcher and Lin","1775 Omar Landing Suite 872
Smithborough, KY 35364","[[1, 'Multi-lateral next generation intranet', '$937.00', '$1874.00'], [2, 'Stand-alone incremental access', '$913.00', '$1826.00']]",3700.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Lewis LLC,"946 Fox Light
West Chloe, TX 19389",(165)268-4326,82394830,"03 March, 2022","Collier, Savage and Luna","477 William Extensions
Omarside, MN 83313","[[1, 'Assimilated client-driven challenge', '$218.00', '$436.00'], [2, 'Ameliorated 5thgeneration adapter', '$154.00', '$154.00'], [3, 'Up-sized actuating initiative', '$523.00', '$1046.00'], [4, 'Ergonomic transitional superstructure', '$657.00', '$657.00'], [5, 'Realigned uniform contingency', '$745.00', '$745.00']]",3038.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Pennington Group,"3449 Brian Square
Gravesview, GA 37958",(376)071-6111,72123357,"05 September, 2018",Gould LLC,"002 Michelle Inlet
North Emily, MI 61218","[[1, 'Decentralized coherent monitoring', '$363.00', '$726.00'], [2, 'Quality-focused national framework', '$294.00', '$294.00']]",1020.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Williams, Collins and Gonzalez","173 Ellison Lodge Suite 204
Angelaton, AS 32060",001-791-999-0176x28602,25987280,"27 August, 2021","Stanton, Wright and White","PSC 6286, Box 5628
APO AE 00674","[[1, 'Reduced disintermediate archive', '$440.00', '$440.00']]",440.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Moore and Sons,"Unit 9567 Box 3349
DPO AE 50052",836-030-5480x430,63972621,"23 July, 2021",Bryant-Smith,"47631 Terrell Passage Suite 499
East Maria, MN 33633","[[1, 'Managed interactive extranet', '$140.00', '$140.00'], [2, 'Stand-alone content-based website', '$294.00', '$588.00'], [3, 'Vision-oriented static success', '$423.00', '$423.00'], [4, 'Optimized intangible Graphic Interface', '$453.00', '$906.00']]",2057.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Beck, Ramos and Andrade","6709 Gray Crossroad
West Ethan, SC 61759",662.690.8322,43470068,"18 May, 2018",Anderson-Schultz,"37810 Edwards Mill Suite 825
East Jennifershire, NJ 07392","[[1, 'Networked fault-tolerant benchmark', '$998.00', '$998.00'], [2, 'Automated global collaboration', '$592.00', '$592.00']]",1590.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
